"2 theta, degree"	Intensity
20.6314	22859.1505
20.6484	22700.2695
20.6654	22880.316
20.6824	23045.0052
20.6994	22840.0277
20.7164	23035.3728
20.7334	23092.0901
20.7504	22689.3717
20.7674	22492.0076
20.7844	22732.3273
20.8014	22726.3391
20.8184	22974.7954
20.8354	22938.9239
20.8524	22594.0416
20.8694	22691.3636
20.8864	22821.3318
20.9034	22811.1677
20.9204	22922.1868
20.9374	22890.3424
20.9544	22627.6513
20.9714	22621.2497
20.9884	22603.5063
21.0054	22760.8578
21.0224	22959.2239
21.0394	22931.1984
21.0564	22878.1319
21.0734	22785.3992
21.0904	22843.9097
21.1074	22729.2387
21.1244	22890.1461
21.1414	22964.7196
21.1584	22861.1053
21.1754	22733.5379
21.1924	22761.1118
21.2094	22900.0259
21.2264	22842.2798
21.2434	22901.0097
21.2604	22859.8713
21.2774	22687.5484
21.2944	22573.9538
21.3114	22758.6346
21.3284	23002.9779
21.3454	22943.0331
21.3624	22905.2331
21.3794	22973.7696
21.3964	22855.7284
21.4134	22826.0848
21.4304	22721.6962
21.4474	22658.6328
21.4644	22900.9621
21.4814	22996.9681
21.4984	23045.8356
21.5154	23151.859
21.5324	22890.6261
21.5494	23181.8188
21.5664	23228.0649
21.5834	23210.6975
21.6004	23083.8706
21.6174	23248.8501
21.6344	23478.6337
21.6514	23402.2875
21.6684	23689.3988
21.6854	23464.1692
21.7024	23365.9368
21.7194	23485.9881
21.7364	23153.0378
21.7534	23185.2031
21.7704	23190.3892
21.7874	23043.0291
21.8044	23126.528
21.8214	23258.0707
21.8384	23056.4611
21.8554	23177.5821
21.8724	23041.0669
21.8894	23119.2253
21.9064	23432.2594
21.9234	23445.542
21.9404	23596.9827
21.9574	23622.8318
21.9744	24018.9123
21.9914	24321.9889
22.0084	24697.2059
22.0254	24557.5301
22.0424	24749.2249
22.0594	25074.3835
22.0764	25442.4173
22.0934	25877.641
22.1104	26755.7426
22.1274	27630.2407
22.1444	28469.638
22.1614	29723.3459
22.1784	31372.2078
22.1954	33685.9896
22.2124	35769.4775
